title,structural_archetype,primary_domain,sub_category,published_date,publish_day,publish_hour,views,likes,comments,engagement_rate_%,duration_formatted,thumbnail_url,url,video_id,description_clean
20. Sora Touba 1 to 37 | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-02-28,Saturday,7,95,10,0,10.53,01:08:26,https://i.ytimg.com/vi/4mYI7hpejYU/maxresdefault.jpg,https://youtube.com/watch?v=4mYI7hpejYU,4mYI7hpejYU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
3. Quranic Arabic Class | Sentence & phrases,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-01-31,Friday,5,95,8,0,8.42,01:14:31,https://i.ytimg.com/vi/zAzJRUtArLk/maxresdefault.jpg,https://youtube.com/watch?v=zAzJRUtArLk,zAzJRUtArLk,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
غلامی میں بدل جاتا ہے قوموں کا ضمیر | Iqbal & Quran with friends | ضربِ کلیم | Ep.09,General Discourse,Iqbalian Philosophy (Fikr-e-Iqbal),Zarb-e-Kalim,2023-03-22,Wednesday,18,95,10,0,10.53,16:06,https://i.ytimg.com/vi/57-piMPIHbM/maxresdefault.jpg,https://youtube.com/watch?v=57-piMPIHbM,57-piMPIHbM,"A collective study of Kalam e Iqbal with reference to the Quran. 00:00 06:00 ٰپہلا شعر 06:00 16:00 دوسرا شعر #اقبال #کلام #قرآن #quran #iqbal #momin #poetry #iqbalpoetry Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
39. Sora Luqman # Dora Quran 2025,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-03-20,Thursday,7,94,6,0,6.38,40:30,https://i.ytimg.com/vi/H48CjuPdCJU/maxresdefault.jpg,https://youtube.com/watch?v=H48CjuPdCJU,H48CjuPdCJU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
4. Quranic Arabic Class | Details of Sentence,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-02-01,Saturday,4,93,4,0,4.3,01:07:36,https://i.ytimg.com/vi/HAiBIataxZU/maxresdefault.jpg,https://youtube.com/watch?v=HAiBIataxZU,HAiBIataxZU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
114- Asar to Naas | Dora Tarjuma Quran,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-04-26,Friday,5,93,9,3,12.9,54:16,https://i.ytimg.com/vi/o2zAMiZu67w/maxresdefault.jpg,https://youtube.com/watch?v=o2zAMiZu67w,o2zAMiZu67w,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Way to Success | کامیابی کی چار شرائط | سورۃ العصر | Dars e Quran,General Discourse,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-02-01,Wednesday,16,93,7,0,7.53,46:04,https://i.ytimg.com/vi/6bUvF1978LQ/maxresdefault.jpg,https://youtube.com/watch?v=6bUvF1978LQ,6bUvF1978LQ,"Dars e Quran Series # 1 According to the Quran, What are the prerequisites and conditions for salvation and success in this world and hereafter? #haq #sabr #iman #amal #عصر #خسارة #ایمان #عمل #حق #صبر Please subscribe to our channel And Press the bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
Adam A.S and Reality of Khilafat & its System | آدمؑ کی خلافت کی حقیقت اوراسکا نظام ؔ Khutba e Jumma,General Discourse,Civilizational History & Seerah,Empires & Caliphates,2022-12-10,Saturday,21,93,10,1,11.83,25:24,https://i.ytimg.com/vi/u1_5FrFjRbc/maxresdefault.jpg,https://youtube.com/watch?v=u1_5FrFjRbc,u1_5FrFjRbc,"Khutba e Jumma 02-12-22 | سورۃ البقرہ 4 رکوع #Adam and Iblees #khilafat What is real conceptive of Islamic State & Khilafat #judiciary #bureaucracy #legislature Please subscribe to our channel And Press Bell Button. So, You can received our latest videos... Also like our videos and share with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
Welcome the Best Month of Quran,General Discourse,General Public Address,Unassigned Overview Topics,2025-02-28,Friday,4,92,16,1,18.48,01:00,https://i.ytimg.com/vi/Wq2tMS-WeG0/maxresdefault.jpg,https://youtube.com/watch?v=Wq2tMS-WeG0,Wq2tMS-WeG0,
Ramazan is coming. Get ready #quran #muhammad #ramazan #ترجمہ_قرآن #قرآن #رمضان,Standalone Keynotes,General Public Address,Unassigned Overview Topics,2023-03-17,Friday,1,91,24,0,26.37,00:29,https://i.ytimg.com/vi/6pF8pICme-E/maxresdefault.jpg,https://youtube.com/watch?v=6pF8pICme-E,6pF8pICme-E,#muhammad #quran #ramazan #ramadan #رمضان #قرآن #دورہ_تفسیر #دورہ #ترجمہ_قرآن #tarjuma
Islam. Complete code of life & its demands | اسلام۔ مکمل نظامِ زندگی &  تقاضے | Shuja Uddin Sheikh,General Discourse,Socio-Spiritual Ethics & Family,Social & Family Ethics,2022-12-28,Wednesday,15,91,12,1,14.29,47:46,https://i.ytimg.com/vi/Xx7bA2C4on0/maxresdefault.jpg,https://youtube.com/watch?v=Xx7bA2C4on0,Xx7bA2C4on0,"Lecture to students and the public in Jamia Manzoor ul Islamia Lahore #shujauddinsheikh Islam. Complete code of life & its demands | دین۔ مکمل نظامِ زندگی & اسکے تقاضے | Shuja Uddin Sheikh #islam #jamia Please subscribe to our channel And Press Bell Button. Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Jazakallah for watching this video"
33. Sora Anbea & Hajj 1-38 | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-03-06,Friday,7,90,3,0,3.33,01:15:41,https://i.ytimg.com/vi/31Uuh1hQNWs/maxresdefault.jpg,https://youtube.com/watch?v=31Uuh1hQNWs,31Uuh1hQNWs,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
22. Sorat Yunus complete # Dora Quran 2025,Standalone Keynotes,Civilizational History & Seerah,Prophetic Era (Seerah),2025-03-12,Wednesday,6,90,9,0,10.0,01:26:51,https://i.ytimg.com/vi/UZP5a_M5ESE/maxresdefault.jpg,https://youtube.com/watch?v=UZP5a_M5ESE,UZP5a_M5ESE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
7. Aale Imran 31-120 # Dora Quran 2025,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-03-04,Tuesday,18,90,11,1,13.33,01:22:54,https://i.ytimg.com/vi/HGf0A9M7pvo/maxresdefault.jpg,https://youtube.com/watch?v=HGf0A9M7pvo,HGf0A9M7pvo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
50- Kahaf R4-8/A37-59 | Dora Tarjuma Quran,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-12-17,Sunday,5,89,9,0,10.11,43:30,https://i.ytimg.com/vi/fRF3DFfARTg/maxresdefault.jpg,https://youtube.com/watch?v=fRF3DFfARTg,fRF3DFfARTg,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
"Ramazan, Quran, Pakistan | رمضان، قرآن، پاکستان | Khutba e Jumma",General Discourse,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-03-27,Monday,10,89,15,4,21.35,32:11,https://i.ytimg.com/vi/jeVHDw8oARA/maxresdefault.jpg,https://youtube.com/watch?v=jeVHDw8oARA,jeVHDw8oARA,"24-03-2023 #quran #muhammad #ramazan #pakistan #freedom Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
اسی قرآں میں ہے اب ترکِ جہاں کی تعلیم | Iqbal & Quran with friends | ضربِ کلیم | Ep.08,General Discourse,Iqbalian Philosophy (Fikr-e-Iqbal),Zarb-e-Kalim,2023-03-15,Wednesday,3,88,11,0,12.5,12:47,https://i.ytimg.com/vi/xBfvNNYMIMo/maxresdefault.jpg,https://youtube.com/watch?v=xBfvNNYMIMo,xBfvNNYMIMo,"A collective study of Kalam e Iqbal with reference to the Quran. #اقبال #کلام #قرآن #quran #iqbal #momin #poetry #iqbalpoetry Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
22. Sora Touba 73 to 129 | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-03-01,Sunday,7,87,6,0,6.9,59:58,https://i.ytimg.com/vi/Sny5p02CRjU/maxresdefault.jpg,https://youtube.com/watch?v=Sny5p02CRjU,Sny5p02CRjU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
8. Aale Imran 121-200 # Dora Quran 2025,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-03-05,Wednesday,7,87,9,1,11.49,01:13:26,https://i.ytimg.com/vi/nyMlBEnEVEQ/maxresdefault.jpg,https://youtube.com/watch?v=nyMlBEnEVEQ,nyMlBEnEVEQ,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
شرک فی الخوف #quran #tarjuma #qurantranslation #muhammad,Standalone Keynotes,General Public Address,Unassigned Overview Topics,2024-03-26,Tuesday,6,87,12,0,13.79,01:01,https://i.ytimg.com/vi/4vA0L3NOsCs/maxresdefault.jpg,https://youtube.com/watch?v=4vA0L3NOsCs,4vA0L3NOsCs,Video from Dr Haseeb
ڈاکٹر اسرار احمد رحمہ اللہ اپنے زمانے کی آئینی ترمیم کے بارے میں ,General Discourse,Constitutional Law & Statecraft,Amendments & Legal History,2025-11-14,Friday,5,86,3,0,3.49,04:34,https://i.ytimg.com/vi/d2JXDYbPsHE/hqdefault.jpg,https://youtube.com/watch?v=d2JXDYbPsHE,d2JXDYbPsHE,میں يہ بالکل نہیں کہوں گا کہ اگر ڈاکٹر صاحب کے زمانے میں یہ ہوتا تو۔۔۔ یا اگر ڈاکٹر صاحب اس زمانے میں ہوتے تو۔۔۔ کیونکہ تلک امہ قد خلت لھا ما کسبت ولکم ما کسبتم *ولا تسألون عما كانو يعملون* تھے تو آباء وہ تمہارے ہی مگر تم کیا ہو؟
20a. Sajda to Ahzab. Grand Alliance against Madina,Standalone Keynotes,Constitutional Law & Statecraft,Amendments & Legal History,2024-03-31,Sunday,6,86,6,0,6.98,01:45:41,https://i.ytimg.com/vi/t-F73UhgsMg/maxresdefault.jpg,https://youtube.com/watch?v=t-F73UhgsMg,t-F73UhgsMg,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Quranic Belief & Recitation | قرآن پر ایمان اور تلاوت | Khutba e Jumma,General Discourse,Constitutional Law & Statecraft,Amendments & Legal History,2023-12-24,Sunday,3,86,7,0,8.14,25:18,https://i.ytimg.com/vi/QXL37zJ2WOc/maxresdefault.jpg,https://youtube.com/watch?v=QXL37zJ2WOc,QXL37zJ2WOc,"Khutba e Jumma 07-04-23 #quran #ramazan #قرآن #tilawat #تلاوت #ایمان #iman Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
50. Sora Hamim Sajda & Shooraa | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-03-13,Friday,7,85,3,0,3.53,01:54:00,https://i.ytimg.com/vi/C31mrm2QYSY/maxresdefault.jpg,https://youtube.com/watch?v=C31mrm2QYSY,C31mrm2QYSY,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Islam ka Adal aur hum | اسلام کا  عدل و انصاف اور ہم | Khutba e Jumma,General Discourse,General Public Address,Unassigned Overview Topics,2023-08-26,Saturday,6,85,2,0,2.35,29:45,https://i.ytimg.com/vi/J-NykC6ieDU/maxresdefault.jpg,https://youtube.com/watch?v=J-NykC6ieDU,J-NykC6ieDU,اسلام کا انفرادی، سماجی، معاشی، سیاسی اور عدالتی سطح پر عدل و انصاف کا نظام اور موجودہ مسلمان Khutba e Jumma 25-08-2023 #islam #quran #muhammad #justice #muslim
Quranic Economic principles -3 | خرچ کرو، اپنے پر، اپنوں پر اور حقداروں پر,General Discourse,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-03-07,Tuesday,10,85,8,1,10.59,30:54,https://i.ytimg.com/vi/C_6L66Zvoeg/maxresdefault.jpg,https://youtube.com/watch?v=C_6L66Zvoeg,C_6L66Zvoeg,"قرآنی معاشی تعلیمات -3 | Special lecture series # 3 Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Seerat un Nabi ﷺ Last class | اختتامی کلاس | فتح مکہ سے دورِ حاظر تک,Serial Coursework,Civilizational History & Seerah,Prophetic Era (Seerah),2023-01-17,Tuesday,3,85,9,2,12.94,29:40,https://i.ytimg.com/vi/6EWpMldVTKE/maxresdefault.jpg,https://youtube.com/watch?v=6EWpMldVTKE,6EWpMldVTKE,"A short course on Seerat un Nabi ﷺ | Last Class اختتامی کلاس | فتح مکہ سے دورِ حاظر تک #madina #islamicsystem #muslimsociety Life of prophet Muhammad SAW. #muhammad #prophetmuhammad #prophet #سیرت_نبوی #سیرت_النبی #سیرت #seerat #seeratunnabi Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video"
ہدایت کسے ملتی ہے؟ | Who gets hidayat | Special Lecture 5,General Discourse,Socio-Spiritual Ethics & Family,Social & Family Ethics,2022-12-27,Tuesday,3,85,7,0,8.24,49:50,https://i.ytimg.com/vi/Ns3Rklr-Ixc/maxresdefault.jpg,https://youtube.com/watch?v=Ns3Rklr-Ixc,Ns3Rklr-Ixc,"Special Lecture series # 5 #hidayah #taqwa #abubakar #khadija #omar #abulahab #abujahal #ہدایت #تقوی #ہمدردی Please subscribe to our channel And Press the bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
جزاہ اللہ خیرا,General Discourse,General Public Address,Unassigned Overview Topics,2023-11-07,Tuesday,14,84,9,0,10.71,01:01,https://i.ytimg.com/vi/TVx7_pg0onM/maxresdefault.jpg,https://youtube.com/watch?v=TVx7_pg0onM,TVx7_pg0onM,
48. Sora Zumar | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-03-12,Thursday,7,83,3,0,3.61,41:36,https://i.ytimg.com/vi/vhaxgJnQfDw/maxresdefault.jpg,https://youtube.com/watch?v=vhaxgJnQfDw,vhaxgJnQfDw,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
11. Nisaa 105 to 176 | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-02-24,Tuesday,5,83,8,0,9.64,01:13:35,https://i.ytimg.com/vi/WI08P7NncGo/maxresdefault.jpg,https://youtube.com/watch?v=WI08P7NncGo,WI08P7NncGo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
43. Sorat Saad & Zumar # Dora Quran 2025,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-03-22,Saturday,8,83,4,0,4.82,01:28:24,https://i.ytimg.com/vi/H7wCqGqogOs/maxresdefault.jpg,https://youtube.com/watch?v=H7wCqGqogOs,H7wCqGqogOs,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
36. Sorat Namal & Qasas 21 aayat # Dora Quran 2025,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-03-19,Wednesday,6,83,8,0,9.64,01:24:55,https://i.ytimg.com/vi/_oq8s_ZP40k/maxresdefault.jpg,https://youtube.com/watch?v=_oq8s_ZP40k,_oq8s_ZP40k,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
19. Aaraf 158- Anfaal 20 # Dora Quran 2025,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-03-09,Sunday,17,83,8,1,10.84,01:30:23,https://i.ytimg.com/vi/STJ-maEG1MU/maxresdefault.jpg,https://youtube.com/watch?v=STJ-maEG1MU,STJ-maEG1MU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
66- Naml Complete | Dora Tarjuma Quran,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-02-13,Tuesday,3,83,12,2,16.87,55:41,https://i.ytimg.com/vi/_aDTRsPoJ7I/maxresdefault.jpg,https://youtube.com/watch?v=_aDTRsPoJ7I,_aDTRsPoJ7I,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
ناظرین سے| Iqbal & Quran with friends | ضربِ کلیم -11,General Discourse,Iqbalian Philosophy (Fikr-e-Iqbal),Zarb-e-Kalim,2023-06-25,Sunday,8,83,8,0,9.64,12:17,https://i.ytimg.com/vi/qpQ9iSd5kQw/maxresdefault.jpg,https://youtube.com/watch?v=qpQ9iSd5kQw,qpQ9iSd5kQw,"A collective study of Kalam e Iqbal with reference to the Quran. #iqbal #iqbalpoetry #zarbekaleem Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Time Management & Self Purification | Khutbah e Jumma,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-01-20,Friday,18,83,12,1,15.66,26:34,https://i.ytimg.com/vi/N3W2nF3Vpmo/maxresdefault.jpg,https://youtube.com/watch?v=N3W2nF3Vpmo,N3W2nF3Vpmo,"Khutba e Jumma 20-01-23 | Time Management & Self Purification #تزکیہ #timemanagement #time #timemanagementstrategies #timemanagementtips #selfimprovement #selfcare Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
05- Baqara R17-22 | Dora tarjuma Quran 2023,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-04-20,Thursday,17,82,7,1,9.76,49:50,https://i.ytimg.com/vi/x4sXC1Df_m8/maxresdefault.jpg,https://youtube.com/watch?v=x4sXC1Df_m8,x4sXC1Df_m8,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
قبائلى نظام اور شورى,General Discourse,General Public Address,Unassigned Overview Topics,2024-02-07,Wednesday,18,81,9,0,11.11,01:01,https://i.ytimg.com/vi/t0xr0AOswI8/maxresdefault.jpg,https://youtube.com/watch?v=t0xr0AOswI8,t0xr0AOswI8,
42. Sora Ankabot | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-03-10,Tuesday,5,80,3,0,3.75,01:13:41,https://i.ytimg.com/vi/ZUjMoZ_yCQ4/maxresdefault.jpg,https://youtube.com/watch?v=ZUjMoZ_yCQ4,ZUjMoZ_yCQ4,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
45. Sora Fussilat 30 to Shura & Zukhruf end # Dora Quran 2025,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-03-22,Saturday,20,80,5,1,7.5,01:43:44,https://i.ytimg.com/vi/SDdEa-eIK6g/maxresdefault.jpg,https://youtube.com/watch?v=SDdEa-eIK6g,SDdEa-eIK6g,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
9. Quranic Arabic Class | Past tense detail,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-02-08,Saturday,4,80,3,0,3.75,01:13:05,https://i.ytimg.com/vi/fbjxDITPRPE/maxresdefault.jpg,https://youtube.com/watch?v=fbjxDITPRPE,fbjxDITPRPE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
PALASTINE ki jangi madad Kon kry? Kesy kry?,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-04-06,Saturday,7,79,2,0,2.53,29:17,https://i.ytimg.com/vi/dGjUw5NGMms/maxresdefault.jpg,https://youtube.com/watch?v=dGjUw5NGMms,dGjUw5NGMms,"#quran #palastine #aqsa #israelpalestineconflict #israel #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Ramazan & Dora Tarjuma Quran,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-03-13,Wednesday,8,79,9,2,13.92,23:47,https://i.ytimg.com/vi/bOTeaTZRUfE/maxresdefault.jpg,https://youtube.com/watch?v=bOTeaTZRUfE,bOTeaTZRUfE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
بہار ہو کہ خزاں لا الہ الا اللہ| Iqbal & Quran with friends | ضربِ کلیم | Ep.06,General Discourse,Iqbalian Philosophy (Fikr-e-Iqbal),Zarb-e-Kalim,2023-02-26,Sunday,13,79,8,0,10.13,08:31,https://i.ytimg.com/vi/sIWZ4ULaDM4/maxresdefault.jpg,https://youtube.com/watch?v=sIWZ4ULaDM4,sIWZ4ULaDM4,"A collective study of Kalam e Iqbal with reference to the Quran. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
"6. Quranic Arabic Class | To Stress, Specify & Negate",Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-02-05,Wednesday,5,78,5,0,6.41,01:17:03,https://i.ytimg.com/vi/qGJg14Cnjc8/maxresdefault.jpg,https://youtube.com/watch?v=qGJg14Cnjc8,qGJg14Cnjc8,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
محمّد رسول اللّٰہ ﷺ,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-09-16,Monday,5,78,16,2,23.08,01:04:11,https://i.ytimg.com/vi/TnhZFG2EyH8/maxresdefault.jpg,https://youtube.com/watch?v=TnhZFG2EyH8,TnhZFG2EyH8,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
07- Baqara R27-32 | Dora Tarjuma Quran 2023,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2023-04-30,Sunday,23,78,6,0,7.69,56:35,https://i.ytimg.com/vi/JSnbfzL3gSw/maxresdefault.jpg,https://youtube.com/watch?v=JSnbfzL3gSw,JSnbfzL3gSw,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
5. Quranic Arabic Class | Pronouns & Prepositions,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2025-02-04,Tuesday,5,77,2,0,2.6,01:27:45,https://i.ytimg.com/vi/iHhhy0gthfU/maxresdefault.jpg,https://youtube.com/watch?v=iHhhy0gthfU,iHhhy0gthfU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Ashab e Kahaf aur tamashai tabsary,Standalone Keynotes,Constitutional Law & Statecraft,Amendments & Legal History,2024-10-20,Sunday,14,77,5,0,6.49,22:27,https://i.ytimg.com/vi/Hgft0_I2FNg/maxresdefault.jpg,https://youtube.com/watch?v=Hgft0_I2FNg,Hgft0_I2FNg,"18-10-2024 Khutba e Jumma #constitutionalamendment #palastine #muhammad #quran #ashabekahaf #currentaffairs #oryamaqbooljan #arshadsharif #jumma #khutbahjumat Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Quranic 10 commandments,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-08-19,Monday,5,77,3,0,3.9,01:04:56,https://i.ytimg.com/vi/URhpJXxYQ-c/maxresdefault.jpg,https://youtube.com/watch?v=URhpJXxYQ-c,URhpJXxYQ-c,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
