title,primary_domain,structural_archetype,published_date,publish_day,publish_hour,views,likes,comments,engagement_rate_%,duration_formatted,thumbnail_url,url,video_id,description_clean
43. Sora Room & Luqman | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,10-03-26,Tuesday,7,123,4,0,3.25,1:34:06,https://i.ytimg.com/vi/RXHhJNsCgZY/maxresdefault.jpg,https://youtube.com/watch?v=RXHhJNsCgZY,RXHhJNsCgZY,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
"Oath, Seerat & Constitution | ایفائے عہد، سیرت النبیؐ اور آئین شکنی | Khutba e Jumma | 24-02-23",Khutba e Jumma,General Discourse,24-02-23,Friday,12,123,13,2,12.2,26:59:00,https://i.ytimg.com/vi/_t9c_ulHSUE/maxresdefault.jpg,https://youtube.com/watch?v=_t9c_ulHSUE,_t9c_ulHSUE,"Violation of the Constitution and importance of keeping your oaths in the light of Quran & Seerat un Nabi ﷺ۔ #constitution #treaty #oath #pledges #state #seerat #muhammad #سیرت #عہد #وعدہ Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
17. Aaraf 54 to 129 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,27-02-26,Friday,5,120,3,0,2.5,1:32:18,https://i.ytimg.com/vi/_dFA27rYEow/maxresdefault.jpg,https://youtube.com/watch?v=_dFA27rYEow,_dFA27rYEow,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
36. Sora Noor 1 to 50 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,07-03-26,Saturday,7,119,4,0,3.36,1:23:38,https://i.ytimg.com/vi/qap49QhxVVU/maxresdefault.jpg,https://youtube.com/watch?v=qap49QhxVVU,qap49QhxVVU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
#quran #Ramazan #drisrarahmed,Unassigned Individual Uploads,General Discourse,08-03-23,Wednesday,2,119,15,0,12.61,1:01,https://i.ytimg.com/vi/reZbbdnHLnc/maxresdefault.jpg,https://youtube.com/watch?v=reZbbdnHLnc,reZbbdnHLnc,
25. Sora Yousuf | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,02-03-26,Monday,7,118,6,0,5.08,1:42:51,https://i.ytimg.com/vi/nCOrIgYjz9E/maxresdefault.jpg,https://youtube.com/watch?v=nCOrIgYjz9E,nCOrIgYjz9E,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
10. Nisaa 26 to 104 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,23-02-26,Monday,7,117,12,0,10.26,1:23:00,https://i.ytimg.com/vi/T-DfA1KiPWk/maxresdefault.jpg,https://youtube.com/watch?v=T-DfA1KiPWk,T-DfA1KiPWk,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
استعینو بالصبر والصلوة,Unassigned Individual Uploads,General Discourse,20-04-23,Thursday,22,117,23,1,20.51,1:01,https://i.ytimg.com/vi/CzhlQq-bv58/maxresdefault.jpg,https://youtube.com/watch?v=CzhlQq-bv58,CzhlQq-bv58,
37. Sora Noor 51 to 64 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,08-03-26,Sunday,5,116,5,0,4.31,1:07:53,https://i.ytimg.com/vi/X9UXiiLiylU/maxresdefault.jpg,https://youtube.com/watch?v=X9UXiiLiylU,X9UXiiLiylU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
5. Baqarah 221-257 # Dora Quran 2025,Ramazan 2025,Standalone Keynotes,04-03-25,Tuesday,6,116,10,0,8.62,1:15:34,https://i.ytimg.com/vi/o7KYaPkTdlo/maxresdefault.jpg,https://youtube.com/watch?v=o7KYaPkTdlo,o7KYaPkTdlo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Mulki Halat aur hamara kaam | ملکی حالات اور ہمارا کام | Khutba e Jumma,Khutba e Jumma,General Discourse,20-05-23,Saturday,6,116,10,0,8.62,28:49:00,https://i.ytimg.com/vi/wG65VGwybuo/maxresdefault.jpg,https://youtube.com/watch?v=wG65VGwybuo,wG65VGwybuo,"Khutba e Jumma 19-05-23 #quran #constitution #ruleoflaw #pakistan #imrankhan Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
خلیفۃ اللہ و خلیفۃ المسلمین ۔ #khilafat #politics #quran,Unassigned Individual Uploads,General Discourse,10-02-24,Saturday,5,116,24,2,22.41,1:00,https://i.ytimg.com/vi/rxAvOCvzTwA/maxresdefault.jpg,https://youtube.com/watch?v=rxAvOCvzTwA,rxAvOCvzTwA,
6. Baqara 243 to 286 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,21-02-26,Saturday,7,114,18,0,15.79,1:10:11,https://i.ytimg.com/vi/QS1Jx6iFhsM/maxresdefault.jpg,https://youtube.com/watch?v=QS1Jx6iFhsM,QS1Jx6iFhsM,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
3. Baqarah 104-176 # Dora Quran 2025,Ramazan 2025,Standalone Keynotes,02-03-25,Sunday,17,113,2,0,1.77,1:18:57,https://i.ytimg.com/vi/_YwJi11M_oo/maxresdefault.jpg,https://youtube.com/watch?v=_YwJi11M_oo,_YwJi11M_oo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Personal Talk | With Ayub Baig Mirza Sb | 05- Musharraf period,Personal Talk,Serial Coursework,01-03-23,Wednesday,19,113,8,2,8.85,45:21:00,https://i.ytimg.com/vi/F1tOYJKu0WM/maxresdefault.jpg,https://youtube.com/watch?v=F1tOYJKu0WM,F1tOYJKu0WM,"Personal Discussion with Ayub Baig Mirza Sb, A Special Fellow of the late Dr. Israr Ahmad R.A. This episode shared personal and political memories from the 2000s. #waronterror #musharraf #marshallaw #media #afghanwar #imrankhan #america #israrahmad #pakistanhistory Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
31. Sora Maryam | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,05-03-26,Thursday,7,112,2,0,1.79,49:56:00,https://i.ytimg.com/vi/3VKnkzcfsPI/maxresdefault.jpg,https://youtube.com/watch?v=3VKnkzcfsPI,3VKnkzcfsPI,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
6. Baqarah 258 - Aale Imran 30 # Dora Quran 2025,Ramazan 2025,Standalone Keynotes,04-03-25,Tuesday,7,112,8,0,7.14,1:11:06,https://i.ytimg.com/vi/FKZD8cip-bw/maxresdefault.jpg,https://youtube.com/watch?v=FKZD8cip-bw,FKZD8cip-bw,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
32. Sora Taha | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,06-03-26,Friday,5,111,2,1,2.7,1:26:01,https://i.ytimg.com/vi/OLkPpI8DDKc/maxresdefault.jpg,https://youtube.com/watch?v=OLkPpI8DDKc,OLkPpI8DDKc,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
6a. Islam & Christianity. Nisaa 4,Live Ramazan 2024,Standalone Keynotes,17-03-24,Sunday,4,111,1,0,0.9,52:01:00,https://i.ytimg.com/vi/_w__fz10P94/maxresdefault.jpg,https://youtube.com/watch?v=_w__fz10P94,_w__fz10P94,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
9. Nisaa 1-42 # Dora Quran 2025,Ramazan 2025,Standalone Keynotes,06-03-25,Thursday,6,110,14,0,12.73,1:26:25,https://i.ytimg.com/vi/f9W35Tul7dg/maxresdefault.jpg,https://youtube.com/watch?v=f9W35Tul7dg,f9W35Tul7dg,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
04- Baqara R13-16 | Dora Tarjuma Quran 2023,Dora Tarjuma Quran 2023,Standalone Keynotes,18-04-23,Tuesday,16,110,9,0,8.18,48:33:00,https://i.ytimg.com/vi/YyVmApfqxIc/maxresdefault.jpg,https://youtube.com/watch?v=YyVmApfqxIc,YyVmApfqxIc,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
99- Hadid R4/A29 | Dora Tarjuma Quran,Dora Tarjuma Quran 2023,Standalone Keynotes,08-04-24,Monday,7,110,5,0,4.55,56:00:00,https://i.ytimg.com/vi/yPiU9XaJpsw/maxresdefault.jpg,https://youtube.com/watch?v=yPiU9XaJpsw,yPiU9XaJpsw,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
29. Sora Bani Israel | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,04-03-26,Wednesday,7,109,4,0,3.67,1:19:13,https://i.ytimg.com/vi/K7GqLa7p1xM/maxresdefault.jpg,https://youtube.com/watch?v=K7GqLa7p1xM,K7GqLa7p1xM,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
"Haram, Ibrahim & Our Current Situation",Khutba e Jumma,Standalone Keynotes,14-06-24,Friday,14,109,9,1,9.17,22:33,https://i.ytimg.com/vi/DexxAbAh3LM/maxresdefault.jpg,https://youtube.com/watch?v=DexxAbAh3LM,DexxAbAh3LM,"#imranriazkhan #hajj #eid #persecucion #seerat #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
کم از کم سچ تو بولو,Pak & Ummah affairs,General Discourse,05-12-24,Thursday,10,108,8,0,7.41,1:09,https://i.ytimg.com/vi/zXxO_J2r4UY/maxresdefault.jpg,https://youtube.com/watch?v=zXxO_J2r4UY,zXxO_J2r4UY,#imrankhan #26november #pakistan
47- Bani Israel R1-4/A1-40 | Dora Tarjuma Quran,Dora Tarjuma Quran 2023,Standalone Keynotes,03-12-23,Sunday,2,108,14,0,12.96,50:35:00,https://i.ytimg.com/vi/4T2fA70d-yw/maxresdefault.jpg,https://youtube.com/watch?v=4T2fA70d-yw,4T2fA70d-yw,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
"Islam & Christianity Past, Present & Future | اسلام اور عیسائیت | Khutbah e Jumma",Khutba e Jumma,Standalone Keynotes,30-12-22,Friday,15,107,11,1,11.21,27:29:00,https://i.ytimg.com/vi/D5B5acSJ9i0/maxresdefault.jpg,https://youtube.com/watch?v=D5B5acSJ9i0,D5B5acSJ9i0,"Khutba e Jumma 30-12-22 | اسلام اور عیسائیت, عقائد & ماضی حال اور مستقبل Islam & Christianity Past, Present & Future | #islam #christianity #history #dajjal #jesus #jesuschrist #muhammad #comparativereligion A comparative study of beliefs and history of Islam & Christianity #ummat e Muslima Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
What to do in a falling Nation | ڈوبتی ہوئی قوم میں کرنے کا کام,Online Quranic Sessions 2,Standalone Keynotes,29-10-25,Wednesday,10,106,12,0,11.32,53:05:00,https://i.ytimg.com/vi/wogfFNLirAY/maxresdefault.jpg,https://youtube.com/watch?v=wogfFNLirAY,wogfFNLirAY,"#quran #ramazan #tarjuma #tarjumaequran #muhammad #news #pakistan #palestine #currentaffairs A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
ابراهيم خليل الله عليه السلام,Online Seerat sessions,Standalone Keynotes,28-09-24,Saturday,4,105,9,1,9.52,1:01:01,https://i.ytimg.com/vi/u7f9K1-0MUU/sddefault.jpg,https://youtube.com/watch?v=u7f9K1-0MUU,u7f9K1-0MUU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Toheen e Quran in Europe. What to do? | Khutbah e Jumma,Khutba e Jumma,Standalone Keynotes,27-01-23,Friday,16,105,11,2,12.38,35:07:00,https://i.ytimg.com/vi/XcDHtqaUFU0/maxresdefault.jpg,https://youtube.com/watch?v=XcDHtqaUFU0,XcDHtqaUFU0,"Khutba e Jumma 27-01-23 | Toheen e Quran in Europe & Responsibility of Ummat e muslima & Pakistan #sweden #denmark #norway #europe #quran #pakistan #muhammad #blasphemy Please subscribe to our channel And Press Bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
52. Sora Jasia & Ahqaf | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,14-03-26,Saturday,6,104,6,0,5.77,1:47:00,https://i.ytimg.com/vi/AZIEnz7tM9g/maxresdefault.jpg,https://youtube.com/watch?v=AZIEnz7tM9g,AZIEnz7tM9g,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
10. Nisaa 43-134 # Dora Quran 2025,Ramazan 2025,Standalone Keynotes,06-03-25,Thursday,7,103,8,0,7.77,1:15:48,https://i.ytimg.com/vi/fBcDoUCKZLo/maxresdefault.jpg,https://youtube.com/watch?v=fBcDoUCKZLo,fBcDoUCKZLo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Connect with Quran | قرآن سے ہمارا تعلق | Shuja Uddin Sheikh,Our Teachers,General Discourse,08-01-23,Sunday,2,103,5,0,4.85,1:21:01,https://i.ytimg.com/vi/HgOn1TAAClk/maxresdefault.jpg,https://youtube.com/watch?v=HgOn1TAAClk,HgOn1TAAClk,"Public lecture to ladies and gentelmen in gharhi shahu markaz Lahore #shujauddinsheikh Connect with Quran | قرآن سے ہمارا تعلق | Shuja Uddin Sheikh Shuja Uddin Sheikh #islam #quran Please subscribe to our channel And Press Bell Button. Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Jazakallah for watching this video"
34. Sora Hajj 38 to 78 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,07-03-26,Saturday,5,102,4,0,3.92,54:56:00,https://i.ytimg.com/vi/tolF8R0tFOY/maxresdefault.jpg,https://youtube.com/watch?v=tolF8R0tFOY,tolF8R0tFOY,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Objective Resolution | قراردادِ مقاصد | Ep-03,Constitution of Pakistan,Serial Coursework,24-07-23,Monday,6,102,7,1,7.84,45:11:00,https://i.ytimg.com/vi/5-kOwdfmVIY/maxresdefault.jpg,https://youtube.com/watch?v=5-kOwdfmVIY,5-kOwdfmVIY,"#objective-resolution #constitution #pakistan #quran #islam #constitution_making #constitutionallaw #constitution_making #قرارداد Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Quranic Concept of Virtue | نیکی کا جامع تصور | Khutba e Jumma,Khutba e Jumma,General Discourse,04-12-22,Sunday,18,100,13,1,14,35:02:00,https://i.ytimg.com/vi/DQ_B91QZl5s/maxresdefault.jpg,https://youtube.com/watch?v=DQ_B91QZl5s,DQ_B91QZl5s,"Khutba e Jumma 25-11-22 #نیکی کا قرآنی تصور #سورۃالبقرۃ آیت177 What is real virtue Please subscribe to our channel And Press Bell Button. So, You can received our latest videos... Also like our videos and share with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
مجھے ہے حکمِ اذاں لا الہ الا اللہ | Iqbal & Quran with friends | ضربِ کلیم | Ep.07,IQBAL & QURAN with friends,General Discourse,04-03-23,Saturday,9,100,5,0,5,11:08,https://i.ytimg.com/vi/UJifXd5blRk/maxresdefault.jpg,https://youtube.com/watch?v=UJifXd5blRk,UJifXd5blRk,"A collective study of Kalam e Iqbal with reference to the Quran. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
24. Sora Hood | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,02-03-26,Monday,5,98,5,0,5.1,1:31:31,https://i.ytimg.com/vi/uUdE6Yv6uOQ/maxresdefault.jpg,https://youtube.com/watch?v=uUdE6Yv6uOQ,uUdE6Yv6uOQ,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
03- Baqara R 5-12 | Dora tarjuma Quran 2023,Dora Tarjuma Quran 2023,Standalone Keynotes,18-04-23,Tuesday,13,97,9,1,10.31,1:10:53,https://i.ytimg.com/vi/b0wd2EMcrmE/maxresdefault.jpg,https://youtube.com/watch?v=b0wd2EMcrmE,b0wd2EMcrmE,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
08- Baqara R33-40 | Dora Tarjuma Quran 2023,Dora Tarjuma Quran 2023,Standalone Keynotes,16-05-23,Tuesday,19,96,6,0,6.25,1:16:44,https://i.ytimg.com/vi/qKsr_RhKdQs/maxresdefault.jpg,https://youtube.com/watch?v=qKsr_RhKdQs,qKsr_RhKdQs,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends... Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
خودی کا سرِ نہاں لا الہ الا اللہ | Iqbal & Quran with friends | ضربِ کلیم | Ep.03,IQBAL & QURAN with friends,General Discourse,16-02-23,Thursday,19,96,10,1,11.46,9:57,https://i.ytimg.com/vi/2vQKX3Vxa5o/maxresdefault.jpg,https://youtube.com/watch?v=2vQKX3Vxa5o,2vQKX3Vxa5o,"A collective study of Kalam e Iqbal with reference to the Quran. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
20. Sora Touba 1 to 37 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,28-02-26,Saturday,7,95,10,0,10.53,1:08:26,https://i.ytimg.com/vi/4mYI7hpejYU/maxresdefault.jpg,https://youtube.com/watch?v=4mYI7hpejYU,4mYI7hpejYU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
3. Quranic Arabic Class | Sentence & phrases,Online Quranic Arabic Course,Standalone Keynotes,31-01-25,Friday,5,95,8,0,8.42,1:14:31,https://i.ytimg.com/vi/zAzJRUtArLk/maxresdefault.jpg,https://youtube.com/watch?v=zAzJRUtArLk,zAzJRUtArLk,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
غلامی میں بدل جاتا ہے قوموں کا ضمیر | Iqbal & Quran with friends | ضربِ کلیم | Ep.09,IQBAL & QURAN with friends,General Discourse,22-03-23,Wednesday,18,95,10,0,10.53,16:06,https://i.ytimg.com/vi/57-piMPIHbM/maxresdefault.jpg,https://youtube.com/watch?v=57-piMPIHbM,57-piMPIHbM,"A collective study of Kalam e Iqbal with reference to the Quran. 00:00 06:00 ٰپہلا شعر 06:00 16:00 دوسرا شعر #اقبال #کلام #قرآن #quran #iqbal #momin #poetry #iqbalpoetry Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Think before you speak,Unassigned Individual Uploads,General Discourse,05-06-26,Friday,3,95,6,0,6.32,0:56,https://i.ytimg.com/vi/IoEPjPMWYdQ/maxresdefault.jpg,https://youtube.com/watch?v=IoEPjPMWYdQ,IoEPjPMWYdQ,
39. Sora Luqman # Dora Quran 2025,Ramazan 2025,Standalone Keynotes,20-03-25,Thursday,7,94,6,0,6.38,40:30:00,https://i.ytimg.com/vi/H48CjuPdCJU/maxresdefault.jpg,https://youtube.com/watch?v=H48CjuPdCJU,H48CjuPdCJU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
4. Quranic Arabic Class | Details of Sentence,Online Quranic Arabic Course,Standalone Keynotes,01-02-25,Saturday,4,93,4,0,4.3,1:07:36,https://i.ytimg.com/vi/HAiBIataxZU/maxresdefault.jpg,https://youtube.com/watch?v=HAiBIataxZU,HAiBIataxZU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
114- Asar to Naas | Dora Tarjuma Quran,Dora Tarjuma Quran 2023,Standalone Keynotes,26-04-24,Friday,5,93,9,3,12.9,54:16:00,https://i.ytimg.com/vi/o2zAMiZu67w/maxresdefault.jpg,https://youtube.com/watch?v=o2zAMiZu67w,o2zAMiZu67w,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Way to Success | کامیابی کی چار شرائط | سورۃ العصر | Dars e Quran,Dars e Quran,General Discourse,01-02-23,Wednesday,16,93,7,0,7.53,46:04:00,https://i.ytimg.com/vi/6bUvF1978LQ/maxresdefault.jpg,https://youtube.com/watch?v=6bUvF1978LQ,6bUvF1978LQ,"Dars e Quran Series # 1 According to the Quran, What are the prerequisites and conditions for salvation and success in this world and hereafter? #haq #sabr #iman #amal #عصر #خسارة #ایمان #عمل #حق #صبر Please subscribe to our channel And Press the bell Button. So, You can receive our latest videos... Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
Adam A.S and Reality of Khilafat & its System | آدمؑ کی خلافت کی حقیقت اوراسکا نظام ؔ Khutba e Jumma,Khutba e Jumma,General Discourse,10-12-22,Saturday,21,93,10,1,11.83,25:24:00,https://i.ytimg.com/vi/u1_5FrFjRbc/maxresdefault.jpg,https://youtube.com/watch?v=u1_5FrFjRbc,u1_5FrFjRbc,"Khutba e Jumma 02-12-22 | سورۃ البقرہ 4 رکوع #Adam and Iblees #khilafat What is real conceptive of Islamic State & Khilafat #judiciary #bureaucracy #legislature Please subscribe to our channel And Press Bell Button. So, You can received our latest videos... Also like our videos and share with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Thanks for watching this video..."
Welcome the Best Month of Quran,Unassigned Individual Uploads,General Discourse,28-02-25,Friday,4,92,16,1,18.48,1:00,https://i.ytimg.com/vi/Wq2tMS-WeG0/maxresdefault.jpg,https://youtube.com/watch?v=Wq2tMS-WeG0,Wq2tMS-WeG0,
Islam. Complete code of life & its demands | اسلام۔ مکمل نظامِ زندگی &  تقاضے | Shuja Uddin Sheikh,Our Teachers,General Discourse,28-12-22,Wednesday,15,91,12,1,14.29,47:46:00,https://i.ytimg.com/vi/Xx7bA2C4on0/maxresdefault.jpg,https://youtube.com/watch?v=Xx7bA2C4on0,Xx7bA2C4on0,"Lecture to students and the public in Jamia Manzoor ul Islamia Lahore #shujauddinsheikh Islam. Complete code of life & its demands | دین۔ مکمل نظامِ زندگی & اسکے تقاضے | Shuja Uddin Sheikh #islam #jamia Please subscribe to our channel And Press Bell Button. Also, like our videos and share them with family and friends... If you have any questions or suggestions please let us know through your valuable comments... Jazakallah for watching this video"
Ramazan is coming. Get ready #quran #muhammad #ramazan #ترجمہ_قرآن #قرآن #رمضان,Unassigned Individual Uploads,Standalone Keynotes,17-03-23,Friday,1,91,24,0,26.37,0:29,https://i.ytimg.com/vi/6pF8pICme-E/maxresdefault.jpg,https://youtube.com/watch?v=6pF8pICme-E,6pF8pICme-E,#muhammad #quran #ramazan #ramadan #رمضان #قرآن #دورہ_تفسیر #دورہ #ترجمہ_قرآن #tarjuma
33. Sora Anbea & Hajj 1-38 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,06-03-26,Friday,7,90,3,0,3.33,1:15:41,https://i.ytimg.com/vi/31Uuh1hQNWs/maxresdefault.jpg,https://youtube.com/watch?v=31Uuh1hQNWs,31Uuh1hQNWs,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
7. Aale Imran 31-120 # Dora Quran 2025,Ramazan 2025,Standalone Keynotes,04-03-25,Tuesday,18,90,11,1,13.33,1:22:54,https://i.ytimg.com/vi/HGf0A9M7pvo/maxresdefault.jpg,https://youtube.com/watch?v=HGf0A9M7pvo,HGf0A9M7pvo,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
